Typ;Titel;Zutaten;Zubereitung;Dauer;Portionen;Herkunftsland
Nachspeise;Kaju Katli;100 g Cashewnuesse (= Kernelnuesse), 70 g Puderzucker, 1,5 EL heisses Wasser;1.Cashewnuesse in einer beschichteten Pfanne 3 Minuten bei mittlerer Hitze leicht anroesten. Die Cashewnuesse sollen weiss bleiben. Von der Platte ziehen.  2.In einem Standmixer/Blender fein mahlen. 3.Zurueck in die noch warme Pfanne schuetten. Puderzucker dazu sieben.  4.Das heisse Wasser dazuschuetten und in der Pfanne mit dem Kochloeffel gut verruehren. Mit gut gewaschenen Haenden zusammenkneten. Fuehlt sich die Masse noch zu trocken an, dann noch ein paar Tropfen Wasser dazugeben. 5.Mit zwei Teigspachteln einen rechteckigen Block formen. Mit einem Teigspachtel in  10 Stuecke teilen. 6.Jedes Stueck mit einer Mischung aus Mandeln und Pistazien dekorieren;20min;50gramm;Indien
Vorspeise;Guacamole;Avocado, Rote Zwiebeln, Tomate, Jalapeno, Limette, Knoblauch, Salz, Pfeffer;1) Die Avocado halbierst Du, wichtig, ist die richtige Reife. Sie muss weich, fast buttrig sein, aber darf keine braunen Stellen im Fruchtfleisch haben. Aus der einen Haelfte entfernst den Kern mit dem Loeffel mit dem Du auch das Fruchtfleisch aus der Schale entfernst. Das gibst Du in die Schuessel. Den ausgepressten Saft der Limette kippst Du darueber und zerdrueckst die Avocado mit der Gabel zu feinem Mus. Ein paar Stuecke koennen noch sichtbar vorhanden bleiben, aber das ist Geschmacksache. 2) Von den Tomaten entfernst Du das Kerngehaeuse, schneidest sie in kleine Wuerfel wie auch die Zwiebel und die Jalapeno ohne Kerne. Am besten probierst Du deren Schaerfe fuer die richtige Dosierung der Schaerfe. Zum Schluss hackst Du Koriander und Knoblauch und ruehrst beides in das Mus. 3) Dann schmeckst Du mit Salz und Pfeffer ab.;15min;4;Mexiko
Nachspeise;Sel Roti;Reismehl, Zucker, Wasser, Butter, Oel zum Frittieren; 1. In einer Schuessel Reismehl, Zucker und Wasser zu einem dickfluessigen Teig vermischen. 2. Einen Essloeffel Butter hinzufuegen und gut vermengen.  3. Den Teig eine Stunde ruhen lassen, um die Aromen zu entwickeln. 4. Oel in einem Topf erhitzen.  5. Mit den Haenden kleine Portionen des Teigs zu ringfoermigen Gebaecken formen und in das heisse Oel geben. 6. Goldbraun frittieren und auf einem Kuechenpapier abtropfen lassen.;30min;6-8Stck;Nepal
Hauptspeise;Tajine;1 Kilogramm gewuerfeltes Fleisch, 1 Zwiebel, in Scheiben geschnitten, 2 Tomaten, 2 Knoblauchzehen, 5 Lorbeerblaetter, 3 Essloeffel Pflanzenoel, 5 Essloeffel Olivenoel, 200 gr Karotten, 100 gr Erbsen, 2 Kartoffeln, 1 Tasse fein gehackter frischer Koriander, 1 Teeloeffel gemahlener Ingwer, 1/4 Teeloeffel Safran, Salz nach Geschmack;Tajine, ein traditionelles marokkanisches Kochgeschirr, das aus Ton oder Keramik hergestellt wird, ist ein wesentlicher Bestandteil der marokkanischen Kueche. Es wird speziell fuer das Kochen von Schmorgerichten verwendet und besteht aus zwei Teilen: einem flachen, breiten Boden und einem konischen Deckel. Diese spezielle Form ermoeglicht es, dass der Dampf kondensiert und wieder zurueck in die Speisen tropft, was zu zarterem Fleisch und intensiveren Aromen fuehrt. Tajines sind oft reich an Gewuerzen und enthalten eine Vielzahl von Zutaten wie Fleisch, Gemuese, Trockenfruechte und Nuesse. Das Garen von Tajine dauert lange, da sie lange bei schwacher Hitze gegart werden, damit sich die Aromen vermischen und Fleisch und Gemuese richtig garen koennen. Die Zubereitung dauert etwa zwei bis drei Stunden und ergibt etwa fuenf Portionen. Marokkanischer Tajine ist eines der bekanntesten Volksgerichte in Marokko und wird haeufig auf marokkanischen Tischen serviert und bei Festen genossen. Die Zutaten sind leicht erhaeltlich, und es gibt verschiedene Zubereitungsmethoden fuer Tajine, die es zu einem vielseitigen Gericht machen. Die Zubereitung umfasst das Waschen der Fleischstuecke und Gemuesesorten, das Anbraten des Fleisches im Tajine-Topf mit Salz und Lorbeerblaettern, das Hinzufuegen der Gemuese- und Gewuerzzutaten sowie das langsame Koechelnlassen fuer etwa zwei Stunden, bis alles gut durchgekocht ist.;2-3h;5;Marokko
Hauptspeise;Chiles en Nogada;40g Butter, 4 EL Olivenoel, 5 Knoblauchzehen, geschaelt, 1 / 2 grosse Zwiebel, fein gehackt, 0.5 Kg Hackfleisch vom Schwein und vom Rind, 50g Rosinen, 2 Birnen, fein gehackt, 2 Pfirsiche, fein gehackt, 1 mittelgrosser Apfel fein gehackt, 0.5 kg reife Tomaten, fein gehackt, 75gr fein gehackte Walnuesse oder Pekannuesse, 60gr Pinienkerne, 1 Prise gemahlener Zimt, 1 Prise frisch gemahlener Pfeffer, 1 Prise gemahlene Nelken, 1 Prise gemahlener Muskat, 1 kleiner Zweig Lorbeer, 1 Schuss trockener Sherry, 1 Schuss trockener Weisswein, Salz nach Geschmack, Nogada Walnuss-Sosse: 200g Walnuesse oder Pekannuesse, geschaelt und eingeweicht in Milch, 30 Mandeln, geschaelt und eingeweicht in Milch, 1 Tasse Milch, 150g Creme fraîche, 1/2 Becher Schlagsahne (light), 1 EL Zucker (aufgeloest in ein wenig Wasser) oder Honig, 1 Prise gemahlener Zimt 1 Schuss trockener oder suesser Sherry, 1 Prise Salz nach Geschmack, Garnitur: Kerne von 2 oder 3 Granataepfeln, 1 /2 Bund Petersilie, gewaschen und geschnitten Blaettern;Die Fuellung: 1. Erhitzen Sie in einem grossen Topf Butter und Olivenoel. Geben Sie die Knoblauchzehen bei und lassen Sie diese goldbraun werden. Dann nehmen Sie die Zehen aus dem Oel. Hacken Sie die Knoblauchzehen und Zwiebeln, anschliessend duensten Sie diese bis die Zwiebeln glasig sind. Fuegen Sie das Fleisch hinzu, braten es und schmecken es mit Salz und Pfeffer ab. 2. Dann fuegen Sie die Rosinen, Pflaumen, Birnen, Ananas und die frischen Fruechte hinzu. Kochen Sie das ganze bei mittlerer Hitze etwa 20 Minuten unter staendigem Ruehren. Sollte die Mischung zu trocken sein, geben Sie schonmal einen Schuss Weisswein hinzu. Anschliessend geben Sie Tomaten, Walnuesse, Pinienkerne, Gewuerze, Kraeuter bei und schmecken das Ganze mit Sherry und Weiswein ab. 3.Lassen Sie das Ganze koecheln, bis Sie eine dicke Konsistenz haben. Die ungefaehre Garzeit betraegt zwei Stunden. Anschliessend lassen Sie die Masse abkuehlen. Nogada – Die Walnuss-Sauce: 1. Lassen Sie die geschaelten Walnuesse in Milch einweichen. Anschliessend nehmen Sie diese aus der Milch und lassen sie abtropfen. Pellen Sie die Mandeln und lassen Sie diese ebenfalls in Milch einweichen. Nach 2 Stunden koennen Sie diese abtropfen lassen. Mahlen Sie die Walnuesse und Mandeln und mischen Sie die Milch langsam darunter, damit die Sosse nicht waessrig wird. 2. Vermengen Sie einen Teil der Creme fraîche mit der Walnuss-Mandel-Mischung und allen anderen Zutaten und geben Sie zum Schluss den Zucker bzw. Honig bei. Schmecken Sie die Sosse zum Schluss mit Zimt, Sherry und Salz ab. 3. Stellen Sie die Sauce fuer 2 Stunden in den Kuehlschrank. Wenn sie dick wird, ruehren Sie mehr Creme fraiche und Milch unter. Die Konsistenz sollte cremig sein. Chile – Die Paprika: 1. Legen Sie die Paprika als Ganzes in die heisse Pfanne und erhitzen sie diese vorsichtig unter staendiger Bewegung, damit sie eine gleichmaessige Farbe annimmt, ohne anzubrennen. Sie sollte knackig und nicht matschig sein. Nehmen Sie die geroestete Paprika aus der Pfanne, bedecken diese mit einem Tuch und lassen Sie diese noch ein wenig in der eigenen Hitze schwitzen. 2. Anschliessend putzen Sie die Paprika, hoehlen diese aus und ziehen die Haut ab. 3. Lassen Sie die Paprika nun abtropfen und trocknen. Danach befuellen Sie diese mit der fertigen Fuellung aus Fleisch und Obst. Anrichten: Servieren Sie die Chiles lauwarm auf einem Teller und bedecken sie mit einer Schicht von Nogada Walnuss-Sauce, garniert mit Granatapfelkernen und Petersilie.;?;?;Mexiko
Hauptspeise;Kotelett Kiew;Huehnerbrust, Knoblauch, Kraeuterbutter, Paniermehl;Die Huehnerbrust wird um die gewuerzte Kraeuterbutter gerollt, paniert und gebraten. Serviert wird es oft mit Kartoffelpueree.;je nach Zubereitung;Variabel;Ukraine
Hauptspeise;Vareniki;Kartoffeln, Sauerkraut, Quark, Fleisch, Pilze, Obst oder Beeren;Die Teigtaschen werden gekocht und mit Sauerrahm serviert;Je nach Fuellung unterschiedlich;Variabel;Ukraine
Nachspeise;Yomari;Teig: 250 g Reismehl, 150 ml warmes Wasser, 1 Prise Salz, Fuellung: 100 g Chaku (Melasse oder Jaggery), 50 g Sesamsamen, 1 TL Kardamompulver;Reismehl, warmes Wasser und Salz in einer Schuessel vermischen und zu einem glatten Teig kneten. Den Teig zugedeckt ca. 30 Minuten ruhen lassen. Fuellung: Chaku, Sesamsamen und Kardamompulver in einer Schuessel vermischen. Teigtaschen formen: Den Teig in 12 gleich grosse Stuecke teilen. Jedes Stueck zu einer Kugel formen und dann mit einem Nudelholz zu einem duennen Kreis ausrollen. In die Mitte jedes Kreises einen Teeloeffel der Fuellung geben. Den Teigrand ueber der Fuellung zusammenklappen und die Raender gut verschliessen. Die Teigtaschen in die gewuenschte Form bringen (z. B. Halbmond oder Fisch). Daempfen: Die Yomari in einem Daempfer ca. 15 Minuten daempfen. Tipp: Yomari koennen auch frittiert werden. Dazu die Teigtaschen in heissem Oel ca. 3 Minuten lang goldbraun frittieren.;1h;12;Nepal
Hauptspeise;Mandi;Lammfleisch, Basmatireis, eine Gruppe von sieben orientalischen Gewuerzen sowie Zwiebeln und Knoblauch;Das Fleisch wird zunaechst eine Stunde lang mit Zwiebeln und Knoblauch im Sortierer gegart und dann mit Reis und Gewuerzen versetzt;2h;?;Jemen
Hauptspeise;Jollof-Reis;0,1 kg Tomaten, 80 gr Reis, gehackte Zwiebeln, Bruehwuerfel, Curry, Pflanzenoel, Salz, Fleischbruehe und Wasser;Zuerst muss man die frischen Tomaten waschen und schneiden und danach puerieren, erhitzen und stark kochen lassen, bis das Wasser verdampft ist. Jede Menge Oel dazugeben und die Tomaten und gehackten Zwiebeln darin kochen lassen. Bruehwuerfel und andere Zutaten nach Geschmack dazugeben. Gleichzeitig den Reis in etwas Fleischbruehe kochen. In einem anderen Topf den Reis mit der Tomatensosse verruehren und braten. Zuletzt noch den restlichen Bruehrest dazugeben und kochen lassen. Warm und als Hauptspeise servieren;1h 15min;1;Nigeria
Hauptspeise;Moloukhia;Moloukhia-Blaetter, Haehnchenbrust und Reis;Dieses Gericht hat eine fluessige Konsistenz und wird immer mit Reis gegessen.Es ist wie Suppe.;15min;100gr;?
Hauptspeise;To;Reis, Tomaten, Karotten, Zwiebeln, Knoblauch, Paprika, oel, Obergine, Soumbala,   Chili, Pfeffer, Magie, Salz, Frische Okra und Fleisch oder Fisch;Um dieses Rezept vorzubereiten, kocht man zu erst Sauce und hinzufuegt danach Reis;1h;4;Burkina Faso
Hauptspeise;Haenchen-Kokos curry;Zwiebel,Knoblauchzehen, Haehnchen, Oel, Kokosmilch, Salz, Pfeffer,  Chili, Ingwer, Kardamom, Gewuerznelken, Fenchel, Zimt,Karotten,Gruener Chili,Cashewkerne und Curryblaetter;Die Gewuerze - Kardamom, Nelken und Fenchelsamen - roesten und dann pulverisieren. Ingwer und Knoblauch zu einer Paste zerstossen. Zimt, Curryblaetter, Chili und in Scheiben geschnittene Zwiebeln anbraten.  Die Ingwer-Knoblauch-Paste spaeter ebenfalls dazugeben. Das Haehnchen, die Kartoffeln und die Karotten dazugeben. Sobald alles gar ist, Salz, Pfeffer und die mit Wasser vermischte Kokosmilch hinzufuegen. 15 Minuten kochen lassen und dann die pulverisierten Gewuerze und die nicht mit Wasser vermischte Kokosmilch dazugeben. Zum Schluss mit geroesteten Cashewnuessen garnieren.;40min;4 bis 6;Indien
Hauptspeise;Kartoffelpuffer;Kartoffel - 5-6 Stueck, Zwiebel, 1 Ei, 1 Stueck Mehl, 2-3 EL Salz, Pfeffer - nach Geschmack, Pflanzenoel - zum Braten, Sauerrahm 21 % - nach Geschmack;Geschaelte Kartoffeln reiben wir auf einer feinen Reibe und mischen sie sofort mit geriebenen Zwiebeln. Wir schlagen ein Ei in die Kartoffelmasse, fuegen Mehl, Salz und Pfeffer hinzu und vermischen alles gut. Wir geben die Kartoffelroesti in eine vorgeheizte Pfanne und braten sie von beiden Seiten, bis eine goldene Kruste entsteht. Servieren Sie sie mit Sauerrahm.;60;5-10Stck;Ukraine
Hauptspeise;Borscht;Rote Rueben, Kartoffeln, Weisskraut und andere Gemuesesorten;Borscht ist eine kraeftige Gemuesesuppe. Die Hauptzutaten werden gekocht und mit einem Loeffel Sauerrahm als Topping serviert. Dazu gibt es oft kleine flauschige Broetchen namens “Pampushki”.;je nach Rezept unterschiedlich;Variabel;Ukraine
